Card,Success,805.05
Cash,Success,2832.05
Cash,Success,2781.42
Cash,Success,932.38
Cash,Success,4330.03
UPI,Success,3654.23
UPI,Success,4105.0
Card,Success,4307.88
Cash,Success,2932.88
Cash,Success,4630.12
Cash,Success,336.64
Cash,Success,2831.15
Cash,Success,2329.17
Cash,Success,3133.07
UPI,Success,4852.53
UPI,Success,1413.09
Card,Success,3352.14
Cash,Success,2540.33
Cash,Failed,3572.21
Card,Success,2520.89
UPI,Success,858.41
Cash,Success,3272.98
Cash,Failed,413.75
UPI,Success,3379.85
Cash,Success,402.79
UPI,Success,3923.03
Card,Failed,2069.86
UPI,Success,932.47
Card,Success,765.15
Card,Failed,4886.83
Card,Success,61.9
Cash,Success,4725.97
UPI,Failed,2464.0
Card,Success,564.55
Cash,Success,3786.69
UPI,Success,278.13
Cash,Success,2481.42
UPI,Success,623.24
UPI,Success,90.9
UPI,Success,2096.08
Card,Failed,3110.54
UPI,Success,2606.75
Card,Success,424.18
Cash,Success,572.4
Card,Success,984.6
Card,Success,1436.39
UPI,Success,3363.39
Cash,Success,2465.54
UPI,Failed,2847.29
UPI,Success,1764.21
UPI,Success,1937.8
Card,Success,2608.21
Card,Success,2602.56
Cash,Success,393.89
Card,Success,2304.03
Cash,Success,3275.94
Cash,Success,685.63
UPI,Success,1840.52
Cash,Success,4081.78
Cash,Success,1902.88
UPI,Success,1216.79
Card,Success,4708.8
UPI,Success,3952.28
UPI,Success,3527.26
UPI,Success,326.8
Card,Success,4135.24
Card,Success,2018.31
Cash,Success,1190.93
Card,Success,3362.42
Cash,Success,2828.66
Cash,Success,3095.33
UPI,Success,1718.49
Card,Success,1078.44
Card,Success,54.22
Card,Success,1340.21
UPI,Success,4927.81
Card,Success,2381.22
UPI,Success,1932.75
Card,Failed,4410.33
Card,Success,3627.6
Cash,Success,1368.72
UPI,Success,3769.34
Card,Success,3112.16
Card,Success,1896.85
UPI,Failed,2091.19
Cash,Success,3604.9
UPI,Success,2059.24
Cash,Success,1781.36
Cash,Success,4761.33
UPI,Failed,1805.97
UPI,Success,329.58
Card,Refunded,4604.73
Cash,Success,4042.55
UPI,Success,1272.44
Cash,Success,2005.08
UPI,Success,1551.46
Cash,Success,883.52
Cash,Success,722.35
Card,Success,3429.18
Cash,Success,2765.5
Cash,Success,4331.76
UPI,Success,1277.45
Cash,Success,1927.65
Cash,Success,2581.64
Cash,Success,1366.06
Cash,Success,2204.96
Card,Failed,4063.98
UPI,Refunded,3548.11
UPI,Success,4191.94
UPI,Success,3266.58
Cash,Success,1364.44
Cash,Success,2646.17
Cash,Success,2903.34
Card,Success,2504.47
Cash,Success,1180.08
Card,Success,1259.44
Card,Success,3921.58
Cash,Success,3266.09
Cash,Success,1470.32
UPI,Success,4328.32
Card,Success,948.54
UPI,Success,3460.18
UPI,Refunded,4528.87
Cash,Success,4793.73
UPI,Failed,1806.25
UPI,Success,3290.12
Card,Success,3042.45
UPI,Success,1354.29
UPI,Success,1750.99
Card,Success,1890.27
UPI,Success,1805.68
UPI,Success,3763.83
Card,Success,1367.64
Card,Success,2085.06
Card,Success,3549.8
Cash,Failed,4101.25
Cash,Success,4680.29
Cash,Success,2144.15
Cash,Success,4154.38
Cash,Success,1117.25
Card,Success,1937.34
Card,Failed,1722.23
Cash,Success,4317.6
UPI,Success,3082.67
Card,Refunded,3131.09
UPI,Success,2011.6
Card,Success,1941.63
Card,Refunded,1077.3
UPI,Success,64.45
UPI,Success,1367.01
UPI,Success,827.52
UPI,Success,1422.28
UPI,Success,4153.79
Cash,Failed,1500.39
Cash,Success,4570.22
Cash,Success,1018.04
Card,Success,3068.5
Cash,Success,701.25
UPI,Refunded,3761.55
Card,Success,4281.26
UPI,Success,218.09
UPI,Success,4901.46
Cash,Success,2035.8
UPI,Failed,335.88
Cash,Success,1372.97
Card,Success,3515.53
Cash,Success,231.01
Card,Success,1654.71
Cash,Success,2757.56
Card,Success,479.24
UPI,Success,933.82
Cash,Success,4438.56
Cash,Success,3022.66
Cash,Success,4303.32
Card,Success,3441.82
Card,Failed,141.96
Card,Success,4992.1
Cash,Success,3101.01
Card,Refunded,3638.06
Card,Success,1865.45
Cash,Refunded,766.47
UPI,Success,4172.93
Cash,Success,2891.19
Card,Success,1902.16
Cash,Success,4701.46
UPI,Success,3994.82
Card,Success,1974.71
Card,Failed,863.97
Card,Success,282.53
Cash,Success,2197.18
Card,Success,4717.79
UPI,Success,1377.86
Cash,Success,398.95
UPI,Success,1779.04
Cash,Success,2254.38
Cash,Success,4002.86
UPI,Success,4309.56
UPI,Failed,1936.96
Card,Success,2604.8
Cash,Failed,4682.43
UPI,Success,434.83
UPI,Success,59.33
UPI,Refunded,2015.45
Cash,Success,1099.96
UPI,Success,637.66
Card,Success,657.08
Card,Success,4445.45
Cash,Success,1392.12
UPI,Refunded,1429.7
UPI,Success,1148.85
Card,Success,530.46
Cash,Success,4212.95
Card,Success,3265.76
UPI,Success,878.92
UPI,Refunded,4567.4
Cash,Success,1801.58
Card,Failed,4112.67
Cash,Success,4873.03
Cash,Success,1912.16
UPI,Success,2469.84
Cash,Success,3414.89
UPI,Success,918.23
Card,Success,1435.36
Cash,Success,2651.62
Card,Success,4331.52
Card,Success,139.43
UPI,Success,4539.9
Card,Success,126.86
Card,Success,779.78
Card,Success,3610.72
Card,Success,2868.12
Cash,Success,3292.8
Card,Success,1567.55
Cash,Success,2576.89
UPI,Success,4812.67
UPI,Failed,594.66
UPI,Failed,3565.77
Card,Refunded,2897.84
UPI,Success,2001.85
UPI,Success,4350.84
UPI,Success,2454.24
Card,Success,2742.96
Card,Success,156.84
UPI,Success,2327.9
Card,Success,604.06
Card,Success,4270.58
Card,Success,1358.28
Cash,Success,4825.35
Cash,Success,3588.31
Card,Success,2222.33
Cash,Success,1560.67
UPI,Success,657.04
Cash,Refunded,1406.93
UPI,Failed,1651.25
UPI,Failed,1023.24
Card,Success,1966.99
Cash,Success,4181.84
Cash,Success,3319.76
UPI,Success,2127.25
Cash,Failed,4123.14
Card,Success,2429.61
UPI,Success,1870.51
UPI,Success,251.16
Card,Success,4627.88
Card,Success,2959.9
UPI,Success,4898.22
UPI,Success,1254.27
UPI,Success,2435.58
Cash,Success,4294.49
Card,Refunded,849.12
Cash,Success,2439.42
Card,Failed,234.51
UPI,Success,1067.13
Card,Success,2884.74
UPI,Success,1983.79
Cash,Refunded,3824.41
Cash,Success,2184.43
Cash,Success,2647.24
Cash,Success,1439.34
Card,Success,3302.4
Card,Failed,2554.26
Cash,Success,1340.48
Card,Success,3832.54
Cash,Refunded,1456.93
Cash,Success,4855.16
Card,Success,1815.66
Cash,Success,129.09
UPI,Success,3833.33
Cash,Success,3850.46
Card,Success,87.84
Cash,Success,3449.8
Cash,Success,3363.96
UPI,Success,292.67
Card,Success,3813.63
Card,Success,4314.9
Cash,Success,229.09
Card,Success,3228.33
UPI,Success,2564.8
Cash,Success,2256.68
Cash,Success,792.73
Card,Success,2049.84
UPI,Success,2050.54
Card,Success,887.81
Cash,Failed,2080.83
Cash,Success,3855.72
Card,Refunded,4401.14
Cash,Success,2675.67
Card,Success,2736.86
Cash,Success,2917.98
Cash,Success,3200.65
UPI,Success,4185.42
Cash,Success,746.5
UPI,Success,669.35
Cash,Success,3554.95
Cash,Success,3735.38
Cash,Success,1619.8
Card,Success,3233.01
Card,Success,1693.64
UPI,Success,4782.91
UPI,Success,3374.24
Cash,Refunded,3320.29
Card,Success,4761.87
Card,Success,4637.38
Card,Success,1612.9
UPI,Success,2456.4
Cash,Success,1781.1
Card,Success,2510.93
Card,Success,4069.92
UPI,Success,2063.4
UPI,Success,4130.37
Card,Refunded,1620.49
Card,Success,1873.74
Card,Success,4283.7
Card,Failed,3114.56
Cash,Success,2646.9
Card,Success,1939.12
UPI,Success,2569.66
UPI,Failed,4127.53
Cash,Failed,4168.21
UPI,Success,313.13
Cash,Success,982.04
Cash,Success,4071.37
Cash,Success,2690.55
UPI,Success,4546.64
Cash,Success,4563.18
Cash,Success,1177.13
UPI,Refunded,2684.87
Card,Success,325.04
Cash,Success,2587.06
UPI,Success,3459.49
Cash,Success,4062.07
Card,Success,2473.44
UPI,Success,236.79
Cash,Refunded,336.43
Card,Success,172.86
Card,Success,916.65
Card,Success,3335.1
Cash,Failed,2932.79
Card,Failed,1265.82
UPI,Success,3408.68
Cash,Success,1781.61
Cash,Success,2494.29
UPI,Success,1991.81
Cash,Success,4606.31
UPI,Success,2165.16
Card,Success,798.39
UPI,Success,1394.0
Cash,Success,337.36
Cash,Success,88.09
UPI,Success,4724.48
Cash,Success,4975.64
UPI,Success,462.38
Cash,Success,4950.16
Cash,Success,3516.28
Card,Success,2936.33
UPI,Failed,4776.68
Card,Success,2365.22
Cash,Success,4000.51
Cash,Success,670.75
Card,Success,333.74
Card,Success,2761.88
UPI,Success,2144.14
Cash,Success,3133.51
Cash,Success,3255.03
UPI,Success,2659.34
Card,Success,4863.22
Cash,Success,3909.4
Card,Success,530.7
UPI,Success,4727.29
Cash,Success,2229.89
UPI,Success,2776.0
Card,Success,4835.32
Cash,Success,4465.78
Card,Success,860.49
Cash,Refunded,2207.89
UPI,Success,4439.05
UPI,Success,4283.79
UPI,Success,1441.21
UPI,Failed,1020.96
UPI,Success,3635.51
UPI,Success,337.68
Cash,Success,3767.25
Cash,Success,209.47
Card,Success,180.85
Card,Success,4464.52
UPI,Success,526.19
Card,Success,1940.5
Card,Success,827.82
Card,Success,4476.65
Card,Success,3437.21
UPI,Success,4435.6
Cash,Failed,1813.56
Card,Success,3562.85
Card,Success,228.64
Card,Success,776.63
UPI,Failed,3870.29
Card,Refunded,4142.95
Cash,Success,4458.01
UPI,Refunded,3812.78
Cash,Success,2223.2
Cash,Success,2052.74
Card,Success,1879.73
Cash,Failed,4943.21
Cash,Success,3835.64
UPI,Success,3228.76
Card,Failed,554.85
Cash,Success,2888.65
Cash,Success,2149.17
Card,Success,2146.59
Cash,Success,3958.44
UPI,Success,1218.7
Card,Success,2860.11
Cash,Failed,1703.58
UPI,Failed,1919.05
Cash,Success,4364.07
Cash,Success,950.62
Card,Failed,863.09
Cash,Success,2973.86
Cash,Success,4445.74
UPI,Failed,2085.96
Card,Success,306.61
UPI,Success,3908.17
UPI,Success,2290.37
Cash,Success,3031.96
Card,Success,4812.45
UPI,Success,1422.73
UPI,Success,3918.42
Cash,Refunded,241.98
Cash,Success,1157.44
Cash,Success,2834.75
Cash,Success,1026.12
Card,Success,4781.3
Card,Success,4106.11
Cash,Success,3962.61
UPI,Success,449.9
UPI,Success,2411.38
Cash,Failed,4346.07
Card,Success,3347.29
Cash,Success,486.44
UPI,Failed,2024.19
Cash,Success,695.11
Cash,Success,3163.31
Card,Success,1307.86
Cash,Success,4078.55
Cash,Success,3815.59
UPI,Success,3936.05
Card,Success,2647.07
Card,Success,649.03
Cash,Success,3699.51
Cash,Success,2585.46
UPI,Success,4310.95
UPI,Success,4515.86
Cash,Success,1042.03
Card,Success,4654.79
Cash,Success,3074.05
Cash,Success,875.24
Card,Success,967.34
Cash,Success,2961.2
Cash,Success,3525.84
UPI,Success,2051.14
UPI,Refunded,825.08
UPI,Success,4131.55
UPI,Success,1332.77
Cash,Success,1628.82
UPI,Success,4894.99
Cash,Refunded,2125.55
Card,Success,2372.9
UPI,Success,3893.12
Card,Success,1921.33
Card,Success,1116.88
UPI,Failed,706.25
UPI,Success,136.78
Cash,Success,2450.14
Cash,Success,1877.68
UPI,Success,1174.73
Card,Failed,4246.42
Card,Success,1450.68
Cash,Success,133.41
Card,Success,1356.25
